       Step     Time          Energy         fmax
GPMin:   13 14:53:42       -4.620981        0.0962
GPMin:   14 14:53:47       -4.637434        0.0915
GPMin:   15 14:53:53       -4.677754        0.0867
GPMin:   16 14:53:58       -4.691823        0.1061
GPMin:   17 14:54:03       -4.705087        0.1092
GPMin:   18 14:54:08       -4.722846        0.0852
GPMin:   19 14:54:13       -4.737630        0.0662
GPMin:   20 14:54:18       -4.753632        0.0829
GPMin:   21 14:54:23       -4.772727        0.0781
GPMin:   22 14:54:28       -4.793139        0.0852
GPMin:   23 14:54:33       -4.811260        0.0802
GPMin:   24 14:54:38       -4.825564        0.0698
GPMin:   25 14:54:42       -4.836162        0.0766
GPMin:   26 14:54:47       -4.846083        0.0762
GPMin:   27 14:54:52       -4.858626        0.0659
GPMin:   28 14:54:57       -4.870257        0.0541
GPMin:   29 14:55:02       -4.878722        0.0635
GPMin:   30 14:55:07       -4.883333        0.0505
GPMin:   31 14:55:11       -4.885312        0.0301
GPMin:   32 14:55:15       -4.886237        0.0276
GPMin:   33 14:55:20       -4.887984        0.0433
GPMin:   34 14:55:24       -4.888823        0.0315
GPMin:   35 14:55:29       -4.889599        0.0163
       Step     Time          Energy         fmax
GPMin:    0 14:55:40       -3.585083        0.9815
GPMin:    1 14:55:47       -4.039229        0.4139
GPMin:    2 14:55:53       -4.191873        0.2609
GPMin:    3 14:56:00       -4.261658        0.1265
GPMin:    4 14:56:05       -4.289871        0.1047
GPMin:    5 14:56:10       -4.297698        0.0966
GPMin:    6 14:56:22       -4.319669        0.0886
GPMin:    7 14:56:28       -4.328156        0.1116
GPMin:    8 14:56:33       -4.335713        0.1277
GPMin:    9 14:56:39       -4.349365        0.1432
GPMin:   10 14:56:45       -4.379564        0.1226
GPMin:   11 14:56:52       -4.406122        0.1555
GPMin:   12 14:56:57       -4.439704        0.1223
GPMin:   13 14:57:02       -4.462650        0.1220
GPMin:   14 14:57:08       -4.486836        0.1215
GPMin:   15 14:57:13       -4.495505        0.1241
GPMin:   16 14:57:19       -4.564437        0.1865
GPMin:   17 14:57:25       -4.635983        0.1812
GPMin:   18 14:57:30       -4.697861        0.1834
GPMin:   19 14:57:35       -4.745964        0.1381
GPMin:   20 14:57:41       -4.775336        0.1172
GPMin:   21 14:57:46       -4.786657        0.0649
GPMin:   22 14:57:51       -4.789541        0.0380
GPMin:   23 14:57:56       -4.790480        0.0221
GPMin:   24 14:58:00       -4.790832        0.0112
       Step     Time          Energy         fmax
GPMin:    0 14:58:09       -3.229722        1.3150
GPMin:    1 14:58:16       -3.938264        0.6039
GPMin:    2 14:58:23       -4.198373        0.3031
GPMin:    3 14:58:29       -4.297542        0.1953
GPMin:    4 14:58:35       -4.330096        0.1827
GPMin:    5 14:58:41       -4.388281        0.1964
GPMin:    6 14:58:46       -4.402018        0.2037
GPMin:    7 14:58:52       -4.484876        0.2219
GPMin:    8 14:58:57       -4.500864        0.2128
GPMin:    9 14:59:02       -4.541523        0.1787
GPMin:   10 14:59:07       -4.589685        0.1418
GPMin:   11 14:59:12       -4.630447        0.1181
GPMin:   12 14:59:17       -4.662786        0.1251
GPMin:   13 14:59:22       -4.694272        0.1386
GPMin:   14 14:59:28       -4.727340        0.1309
GPMin:   15 14:59:33       -4.761743        0.1072
GPMin:   16 14:59:38       -4.794391        0.1103
GPMin:   17 14:59:43       -4.821533        0.1079
GPMin:   18 14:59:48       -4.845542        0.0975
GPMin:   19 14:59:52       -4.864831        0.0880
GPMin:   20 14:59:57       -4.880457        0.0757
GPMin:   21 15:00:01       -4.893408        0.0663
GPMin:   22 15:00:06       -4.903988        0.0556
GPMin:   23 15:00:10       -4.912639        0.0439
GPMin:   24 15:00:14       -4.920070        0.0360
GPMin:   25 15:00:18       -4.925395        0.0334
GPMin:   26 15:00:22       -4.929615        0.0224
GPMin:   27 15:00:27       -4.931508        0.0188
       Step     Time          Energy         fmax
GPMin:    0 15:00:36       -3.116221        1.3244
GPMin:    1 15:00:42       -3.912395        0.5717
GPMin:    2 15:00:47       -4.171690        0.2302
GPMin:    3 15:00:52       -4.228687        0.0915
GPMin:    4 15:00:58       -4.234521        0.0774
GPMin:    5 15:01:03       -4.251391        0.0665
GPMin:    6 15:01:08       -4.257360        0.0517
GPMin:    7 15:01:14       -4.266696        0.0536
GPMin:    8 15:01:19       -4.272630        0.0645
GPMin:    9 15:01:25       -4.293826        0.0873
GPMin:   10 15:01:30       -4.304324        0.0904
GPMin:   11 15:01:37       -4.422730        0.1083
GPMin:   12 15:01:49       -4.432810        0.1858
GPMin:   13 15:02:01       -4.445770        0.0610
GPMin:   14 15:02:18       -4.449512        0.0526
GPMin:   15 15:03:03       -4.466145        0.0965
GPMin:   16 15:03:14       -4.477754        0.1825
GPMin:   17 15:03:26       -4.544529        0.2589
GPMin:   18 15:03:32       -4.610445        0.2649
GPMin:   19 15:03:38       -4.667361        0.1670
GPMin:   20 15:03:43       -4.710172        0.1575
GPMin:   21 15:03:48       -4.748727        0.1466
GPMin:   22 15:03:53       -4.776047        0.1304
GPMin:   23 15:03:58       -4.798765        0.1104
GPMin:   24 15:04:03       -4.818563        0.0975
GPMin:   25 15:04:08       -4.837123        0.0836
GPMin:   26 15:04:13       -4.852786        0.0703
GPMin:   27 15:04:18       -4.865186        0.0617
GPMin:   28 15:04:22       -4.874900        0.0520
GPMin:   29 15:04:27       -4.881155        0.0363
GPMin:   30 15:04:32       -4.884566        0.0270
GPMin:   31 15:04:36       -4.888264        0.0292
GPMin:   32 15:04:40       -4.889057        0.0257
GPMin:   33 15:04:45       -4.889539        0.0135
       Step     Time          Energy         fmax
GPMin:    0 15:04:54       -3.189116        1.3259
GPMin:    1 15:05:00       -3.981386        0.6254
GPMin:    2 15:05:06       -4.269999        0.3217
GPMin:    3 15:05:12       -4.374201        0.1944
GPMin:    4 15:05:17       -4.404919        0.1953
GPMin:    5 15:05:23       -4.472358        0.2012
GPMin:    6 15:05:29       -4.487225        0.1478
GPMin:    7 15:05:33       -4.491438        0.1358
GPMin:    8 15:05:45       -4.516200        0.1213
GPMin:    9 15:05:50       -4.531057        0.0567
GPMin:   10 15:05:55       -4.536008        0.0654
GPMin:   11 15:06:00       -4.539857        0.0580
GPMin:   12 15:06:05       -4.546686        0.0785
GPMin:   13 15:06:10       -4.558477        0.0933
GPMin:   14 15:06:15       -4.573965        0.0988
GPMin:   15 15:06:20       -4.590772        0.0984
GPMin:   16 15:06:25       -4.619274        0.0969
GPMin:   17 15:06:30       -4.636293        0.0968
GPMin:   18 15:06:36       -4.667884        0.0896
GPMin:   19 15:06:41       -4.685602        0.0806
GPMin:   20 15:06:45       -4.698688        0.0750
GPMin:   21 15:06:51       -4.714346        0.0747
GPMin:   22 15:06:56       -4.728869        0.0663
GPMin:   23 15:07:01       -4.745816        0.0744
GPMin:   24 15:07:06       -4.761966        0.0762
GPMin:   25 15:07:11       -4.781452        0.0689
GPMin:   26 15:07:16       -4.799903        0.0661
GPMin:   27 15:07:21       -4.822372        0.0726
GPMin:   28 15:07:26       -4.842908        0.0804
GPMin:   29 15:07:31       -4.864128        0.0852
GPMin:   30 15:07:35       -4.881807        0.0831
GPMin:   31 15:07:40       -4.896350        0.0748
GPMin:   32 15:07:44       -4.907305        0.0646
GPMin:   33 15:07:49       -4.914582        0.0536
GPMin:   34 15:07:53       -4.920527        0.0448
GPMin:   35 15:07:57       -4.924906        0.0403
GPMin:   36 15:08:02       -4.928147        0.0378
GPMin:   37 15:08:06       -4.931391        0.0291
GPMin:   38 15:08:09       -4.932353        0.0210
GPMin:   39 15:08:14       -4.933298        0.0227
GPMin:   40 15:08:17       -4.933472        0.0164
       Step     Time          Energy         fmax
GPMin:    0 15:08:28       -3.170427        1.3474
GPMin:    1 15:08:33       -4.011996        0.6036
GPMin:    2 15:08:39       -4.290565        0.2582
GPMin:    3 15:08:44       -4.357338        0.0968
GPMin:    4 15:08:49       -4.366864        0.1246
GPMin:    5 15:08:53       -4.379317        0.1090
GPMin:    6 15:08:58       -4.394972        0.1313
GPMin:    7 15:09:03       -4.417431        0.0941
GPMin:    8 15:09:08       -4.427000        0.0682
GPMin:    9 15:09:12       -4.432602        0.0597
GPMin:   10 15:09:30       -4.440932        0.1571
GPMin:   11 15:09:42       -4.442540        0.1364
GPMin:   12 15:09:49       -4.479566        0.2820
GPMin:   13 15:09:54       -4.518972        0.2273
GPMin:   14 15:10:00       -4.562435        0.2536
GPMin:   15 15:10:05       -4.605416        0.2285
GPMin:   16 15:10:10       -4.640310        0.2023
GPMin:   17 15:10:15       -4.671229        0.1764
GPMin:   18 15:10:20       -4.703461        0.1559
GPMin:   19 15:10:26       -4.727880        0.1476
GPMin:   20 15:10:31       -4.752120        0.1381
GPMin:   21 15:10:36       -4.776040        0.1265
GPMin:   22 15:10:41       -4.799460        0.1129
GPMin:   23 15:10:46       -4.820322        0.0977
GPMin:   24 15:10:51       -4.841151        0.0827
GPMin:   25 15:10:56       -4.856621        0.0669
GPMin:   26 15:11:00       -4.868800        0.0550
GPMin:   27 15:11:05       -4.876674        0.0412
GPMin:   28 15:11:09       -4.883174        0.0273
GPMin:   29 15:11:14       -4.886647        0.0203
GPMin:   30 15:11:18       -4.888728        0.0177
       Step     Time          Energy         fmax
GPMin:    0 15:11:27       -3.176284        1.3313
GPMin:    1 15:11:33       -3.972666        0.6261
GPMin:    2 15:11:39       -4.262487        0.3228
GPMin:    3 15:11:44       -4.368350        0.1923
GPMin:    4 15:11:49       -4.399575        0.1949
GPMin:    5 15:11:56       -4.468167        0.1987
GPMin:    6 15:12:01       -4.481405        0.1534
GPMin:    7 15:12:06       -4.485379        0.1432
GPMin:    8 15:12:18       -4.508157        0.1391
GPMin:    9 15:12:23       -4.525233        0.0631
GPMin:   10 15:12:28       -4.527730        0.0583
GPMin:   11 15:12:32       -4.529751        0.0371
GPMin:   12 15:12:37       -4.531027        0.0260
GPMin:   13 15:12:41       -4.531411        0.0226
GPMin:   14 15:12:45       -4.532324        0.0236
GPMin:   15 15:12:50       -4.536086        0.0672
GPMin:   16 15:12:55       -4.545147        0.0841
GPMin:   17 15:13:00       -4.557355        0.0878
GPMin:   18 15:13:06       -4.571934        0.0941
GPMin:   19 15:13:11       -4.591631        0.1023
GPMin:   20 15:13:16       -4.609673        0.1029
GPMin:   21 15:13:21       -4.633017        0.1004
GPMin:   22 15:13:26       -4.650967        0.1002
GPMin:   23 15:13:31       -4.676168        0.0968
GPMin:   24 15:13:36       -4.692879        0.0924
GPMin:   25 15:13:41       -4.716113        0.0860
GPMin:   26 15:13:46       -4.737339        0.0823
GPMin:   27 15:13:51       -4.757106        0.0789
GPMin:   28 15:13:56       -4.779912        0.0747
