       Step     Time          Energy         fmax
GPMin:   19 11:40:30       -7.266731        0.0386
GPMin:   20 11:40:36       -7.274129        0.0342
GPMin:   21 11:40:41       -7.277465        0.0256
GPMin:   22 11:40:46       -7.278675        0.0211
GPMin:   23 11:40:52       -7.279680        0.0176
       Step     Time          Energy         fmax
GPMin:    0 11:41:01       -6.799034        0.4940
GPMin:    1 11:41:09       -7.025428        0.2655
GPMin:    2 11:41:15       -7.105264        0.2024
GPMin:    3 11:41:21       -7.165659        0.1609
GPMin:    4 11:41:27       -7.216725        0.1092
GPMin:    5 11:41:33       -7.246606        0.0604
GPMin:    6 11:41:40       -7.262572        0.0417
GPMin:    7 11:41:45       -7.271717        0.0426
GPMin:    8 11:41:50       -7.275873        0.0285
GPMin:    9 11:41:56       -7.278260        0.0218
GPMin:   10 11:42:01       -7.279512        0.0152
       Step     Time          Energy         fmax
GPMin:    0 11:42:11       -6.798656        0.5331
GPMin:    1 11:42:18       -7.012633        0.2258
GPMin:    2 11:42:25       -7.082309        0.1204
GPMin:    3 11:42:31       -7.123616        0.0891
GPMin:    4 11:42:37       -7.143496        0.0753
GPMin:    5 11:42:43       -7.163226        0.0607
GPMin:    6 11:42:49       -7.178593        0.0587
GPMin:    7 11:42:55       -7.196922        0.0738
GPMin:    8 11:43:01       -7.220919        0.0913
GPMin:    9 11:43:07       -7.247212        0.0811
GPMin:   10 11:43:13       -7.267755        0.0523
GPMin:   11 11:43:18       -7.275320        0.0284
GPMin:   12 11:43:23       -7.277462        0.0215
GPMin:   13 11:43:29       -7.278878        0.0160
       Step     Time          Energy         fmax
GPMin:    0 11:43:40       -6.289547        0.4721
GPMin:    1 11:43:48       -6.504787        0.2645
GPMin:    2 11:43:56       -6.647573        0.2379
GPMin:    3 11:44:02       -6.786929        0.1913
GPMin:    4 11:44:09       -6.893382        0.1610
GPMin:    5 11:44:15       -6.963799        0.1240
GPMin:    6 11:44:21       -7.011875        0.1004
GPMin:    7 11:44:27       -7.050953        0.0977
GPMin:    8 11:44:33       -7.089850        0.0865
GPMin:    9 11:44:39       -7.126017        0.0785
GPMin:   10 11:44:45       -7.153850        0.0855
GPMin:   11 11:44:51       -7.174067        0.0885
GPMin:   12 11:44:57       -7.191191        0.0847
GPMin:   13 11:45:03       -7.209554        0.0781
GPMin:   14 11:45:10       -7.227417        0.0801
GPMin:   15 11:45:16       -7.247045        0.0836
GPMin:   16 11:45:22       -7.264189        0.0796
GPMin:   17 11:45:29       -7.274320        0.0542
GPMin:   18 11:45:34       -7.277549        0.0317
GPMin:   19 11:45:40       -7.279054        0.0229
GPMin:   20 11:45:45       -7.279915        0.0158
       Step     Time          Energy         fmax
GPMin:    0 11:45:58       -6.574233        0.7665
GPMin:    1 11:46:05       -6.834392        0.2153
GPMin:    2 11:46:12       -6.925831        0.2051
GPMin:    3 11:46:19       -7.007624        0.1764
GPMin:    4 11:46:26       -7.069083        0.1182
GPMin:    5 11:46:32       -7.109439        0.0632
GPMin:    6 11:46:38       -7.123075        0.0625
GPMin:    7 11:46:44       -7.130302        0.0467
GPMin:    8 11:46:50       -7.136021        0.0388
GPMin:    9 11:46:55       -7.139314        0.0276
GPMin:   10 11:47:01       -7.141238        0.0205
GPMin:   11 11:47:06       -7.142223        0.0194
       Step     Time          Energy         fmax
GPMin:    0 11:47:19       -6.531877        0.3091
GPMin:    1 11:47:27       -6.669989        0.1755
GPMin:    2 11:47:34       -6.757837        0.1672
GPMin:    3 11:47:40       -6.834281        0.1545
GPMin:    4 11:47:46       -6.910078        0.1213
GPMin:    5 11:47:52       -6.967556        0.0909
GPMin:    6 11:47:58       -7.004583        0.0893
GPMin:    7 11:48:05       -7.034232        0.0978
GPMin:    8 11:48:11       -7.066613        0.1088
GPMin:    9 11:48:17       -7.103807        0.1195
GPMin:   10 11:48:24       -7.142020        0.1231
GPMin:   11 11:48:30       -7.174701        0.1194
GPMin:   12 11:48:37       -7.204949        0.0998
GPMin:   13 11:48:43       -7.231464        0.0810
GPMin:   14 11:48:49       -7.251617        0.0730
GPMin:   15 11:48:54       -7.265922        0.0507
GPMin:   16 11:49:00       -7.274591        0.0359
GPMin:   17 11:49:06       -7.278059        0.0290
GPMin:   18 11:49:10       -7.279760        0.0161
       Step     Time          Energy         fmax
GPMin:    0 11:49:20       -6.608648        0.9302
GPMin:    1 11:49:28       -6.948214        0.2332
GPMin:    2 11:49:35       -7.027231        0.1622
GPMin:    3 11:49:41       -7.060900        0.1401
GPMin:    4 11:49:49       -7.110753        0.1147
GPMin:    5 11:49:55       -7.155370        0.1044
GPMin:    6 11:50:01       -7.191610        0.1202
GPMin:    7 11:50:07       -7.222357        0.1215
GPMin:    8 11:50:13       -7.249501        0.1030
GPMin:    9 11:50:19       -7.268001        0.0650
GPMin:   10 11:50:25       -7.275265        0.0295
GPMin:   11 11:50:31       -7.277888        0.0345
GPMin:   12 11:50:36       -7.279618        0.0216
GPMin:   13 11:50:41       -7.280153        0.0118
       Step     Time          Energy         fmax
GPMin:    0 11:50:56       -5.865737        0.6099
GPMin:    1 11:51:05       -6.272904        0.4070
GPMin:    2 11:51:13       -6.502474        0.3618
GPMin:    3 11:51:20       -6.660380        0.3179
GPMin:    4 11:51:26       -6.756802        0.2855
GPMin:    5 11:51:33       -6.886173        0.2221
GPMin:    6 11:51:39       -6.914967        0.2148
GPMin:    7 11:51:45       -6.967411        0.1988
GPMin:    8 11:51:51       -7.028578        0.1562
GPMin:    9 11:51:58       -7.071964        0.1102
GPMin:   10 11:52:04       -7.100640        0.0796
GPMin:   11 11:52:10       -7.120389        0.0719
GPMin:   12 11:52:16       -7.131265        0.0672
GPMin:   13 11:52:21       -7.140579        0.0576
GPMin:   14 11:52:27       -7.147149        0.0506
GPMin:   15 11:52:32       -7.153715        0.0457
GPMin:   16 11:52:38       -7.158938        0.0410
GPMin:   17 11:52:44       -7.165361        0.0442
GPMin:   18 11:52:50       -7.172901        0.0594
GPMin:   19 11:52:56       -7.185545        0.0717
GPMin:   20 11:53:02       -7.204689        0.0756
GPMin:   21 11:53:08       -7.227358        0.0717
GPMin:   22 11:53:14       -7.250823        0.0595
GPMin:   23 11:53:20       -7.266760        0.0542
GPMin:   24 11:53:26       -7.274205        0.0374
GPMin:   25 11:53:31       -7.276624        0.0258
GPMin:   26 11:53:37       -7.278023        0.0228
GPMin:   27 11:53:42       -7.278715        0.0183
       Step     Time          Energy         fmax
GPMin:    0 11:53:53       -6.625868        0.2029
GPMin:    1 11:53:59       -6.771790        0.1588
GPMin:    2 11:54:06       -6.835887        0.0798
GPMin:    3 11:54:11       -6.849012        0.0172
       Step     Time          Energy         fmax
GPMin:    0 11:54:22       -6.666923        0.5943
GPMin:    1 11:54:29       -6.861699        0.1860
GPMin:    2 11:54:36       -6.915883        0.0694
GPMin:    3 11:54:43       -6.927186        0.0614
GPMin:    4 11:54:50       -6.938902        0.0394
GPMin:    5 11:54:56       -6.944902        0.0379
GPMin:    6 11:55:02       -6.952520        0.0348
GPMin:    7 11:55:08       -6.964457        0.0449
GPMin:    8 11:55:14       -6.985649        0.0663
GPMin:    9 11:55:20       -7.019377        0.0865
GPMin:   10 11:55:27       -7.056331        0.0790
GPMin:   11 11:55:33       -7.081646        0.0420
GPMin:   12 11:55:39       -7.090835        0.0390
GPMin:   13 11:55:44       -7.096655        0.0418
GPMin:   14 11:55:50       -7.102640        0.0371
GPMin:   15 11:55:55       -7.107331        0.0210
GPMin:   16 11:56:01       -7.109363        0.0172
       Step     Time          Energy         fmax
GPMin:    0 11:56:12       -6.913163        0.3243
GPMin:    1 11:56:19       -7.076448        0.2303
GPMin:    2 11:56:26       -7.148311        0.1307
GPMin:    3 11:56:32       -7.182075        0.0965
GPMin:    4 11:56:39       -7.206423        0.0672
GPMin:    5 11:56:45       -7.226294        0.0624
GPMin:    6 11:56:51       -7.243496        0.0393
GPMin:    7 11:56:57       -7.255182        0.0403
GPMin:    8 11:57:04       -7.261488        0.0366
GPMin:    9 11:57:10       -7.267356        0.0305
GPMin:   10 11:57:16       -7.274331        0.0293
GPMin:   11 11:57:21       -7.278205        0.0180
       Step     Time          Energy         fmax
GPMin:    0 11:57:32       -6.574233        0.7665
GPMin:    1 11:57:40       -6.834397        0.2153
GPMin:    2 11:57:47       -6.925838        0.2050
GPMin:    3 11:57:53       -7.007624        0.1764
GPMin:    4 11:58:00       -7.069084        0.1182
GPMin:    5 11:58:07       -7.109440        0.0632
GPMin:    6 11:58:13       -7.123077        0.0625
GPMin:    7 11:58:18       -7.130303        0.0467
GPMin:    8 11:58:24       -7.136022        0.0388
GPMin:    9 11:58:30       -7.139314        0.0276
GPMin:   10 11:58:35       -7.141238        0.0205
GPMin:   11 11:58:40       -7.142224        0.0194
       Step     Time          Energy         fmax
GPMin:    0 11:58:52       -6.798656        0.5331
GPMin:    1 11:59:00       -7.012628        0.2258
GPMin:    2 11:59:06       -7.082301        0.1204
GPMin:    3 11:59:13       -7.123614        0.0891
GPMin:    4 11:59:19       -7.143492        0.0753
GPMin:    5 11:59:25       -7.163222        0.0607
GPMin:    6 11:59:31       -7.178589        0.0587
GPMin:    7 11:59:38       -7.196917        0.0738
GPMin:    8 11:59:44       -7.220912        0.0913
GPMin:    9 11:59:50       -7.247205        0.0811
GPMin:   10 11:59:56       -7.267752        0.0523
GPMin:   11 12:00:02       -7.275319        0.0284
GPMin:   12 12:00:06       -7.277461        0.0215
GPMin:   13 12:00:12       -7.278878        0.0160
       Step     Time          Energy         fmax
GPMin:    0 12:00:27       -6.089499        1.0017
