       Step     Time          Energy         fmax
GPMin:   14 10:38:37       -5.631911        0.0732
GPMin:   15 10:38:42       -5.651969        0.0719
GPMin:   16 10:38:47       -5.669018        0.0771
GPMin:   17 10:38:51       -5.696258        0.0815
GPMin:   18 10:38:56       -5.722468        0.0873
GPMin:   19 10:39:01       -5.756484        0.0896
GPMin:   20 10:39:06       -5.786793        0.0907
GPMin:   21 10:39:12       -5.817863        0.0815
GPMin:   22 10:39:17       -5.845211        0.0625
GPMin:   23 10:39:22       -5.861361        0.0389
GPMin:   24 10:39:27       -5.867796        0.0287
GPMin:   25 10:39:31       -5.869616        0.0251
GPMin:   26 10:39:36       -5.870616        0.0225
GPMin:   27 10:39:41       -5.872128        0.0264
GPMin:   28 10:39:44       -5.872500        0.0229
GPMin:   29 10:39:48       -5.873119        0.0126
       Step     Time          Energy         fmax
GPMin:    0 10:39:57       -4.296514        1.5247
GPMin:    1 10:40:01       -5.328221        0.7158
GPMin:    2 10:40:06       -5.724874        0.3085
GPMin:    3 10:40:11       -5.856896        0.0959
GPMin:    4 10:40:15       -5.873167        0.0165
       Step     Time          Energy         fmax
GPMin:    0 10:40:24       -4.299638        1.5222
GPMin:    1 10:40:28       -5.329595        0.7167
GPMin:    2 10:40:33       -5.725169        0.3055
GPMin:    3 10:40:38       -5.856769        0.0968
GPMin:    4 10:40:42       -5.873089        0.0163
       Step     Time          Energy         fmax
GPMin:    0 10:40:52       -4.131614        1.3565
GPMin:    1 10:40:57       -5.117784        0.6683
GPMin:    2 10:41:03       -5.504252        0.3134
GPMin:    3 10:41:09       -5.639848        0.1075
GPMin:    4 10:41:14       -5.660324        0.0132
       Step     Time          Energy         fmax
GPMin:    0 10:41:22       -4.290786        1.5284
GPMin:    1 10:41:27       -5.325555        0.7197
GPMin:    2 10:41:32       -5.723772        0.3091
GPMin:    3 10:41:36       -5.856780        0.0967
GPMin:    4 10:41:41       -5.872952        0.0175
       Step     Time          Energy         fmax
GPMin:    0 10:41:50       -3.970015        1.4099
GPMin:    1 10:41:56       -4.952192        0.6836
GPMin:    2 10:42:02       -5.337898        0.3185
GPMin:    3 10:42:07       -5.478061        0.1305
GPMin:    4 10:42:14       -5.504095        0.0465
GPMin:    5 10:42:19       -5.505349        0.0468
GPMin:    6 10:42:24       -5.518364        0.0474
GPMin:    7 10:42:29       -5.524051        0.0492
GPMin:    8 10:42:35       -5.542589        0.2263
GPMin:    9 10:42:40       -5.566301        0.1087
GPMin:   10 10:42:51       -5.574702        0.0564
GPMin:   11 10:42:57       -5.581196        0.0892
GPMin:   12 10:43:03       -5.606531        0.0679
GPMin:   13 10:43:07       -5.611289        0.0698
GPMin:   14 10:43:13       -5.626000        0.0820
GPMin:   15 10:43:19       -5.660697        0.0842
GPMin:   16 10:43:23       -5.676514        0.0846
GPMin:   17 10:43:28       -5.708731        0.0919
GPMin:   18 10:43:33       -5.749445        0.0949
GPMin:   19 10:43:38       -5.778151        0.0923
GPMin:   20 10:43:43       -5.808151        0.0848
GPMin:   21 10:43:48       -5.831798        0.0750
GPMin:   22 10:43:54       -5.851604        0.0725
GPMin:   23 10:43:59       -5.863297        0.0557
GPMin:   24 10:44:04       -5.868250        0.0279
GPMin:   25 10:44:09       -5.869688        0.0271
GPMin:   26 10:44:13       -5.870901        0.0307
GPMin:   27 10:44:18       -5.872091        0.0267
GPMin:   28 10:44:22       -5.872678        0.0154
       Step     Time          Energy         fmax
GPMin:    0 10:44:31       -4.128676        1.3592
GPMin:    1 10:44:37       -5.116453        0.6698
GPMin:    2 10:44:43       -5.503686        0.3128
GPMin:    3 10:44:48       -5.639622        0.1076
GPMin:    4 10:44:53       -5.660177        0.0123
       Step     Time          Energy         fmax
GPMin:    0 10:45:02       -4.297431        1.5225
GPMin:    1 10:45:07       -5.328692        0.7166
GPMin:    2 10:45:11       -5.724927        0.3063
GPMin:    3 10:45:16       -5.856995        0.0946
GPMin:    4 10:45:21       -5.873089        0.0155
       Step     Time          Energy         fmax
GPMin:    0 10:45:31       -3.962814        1.4144
GPMin:    1 10:45:37       -4.948025        0.6865
GPMin:    2 10:45:43       -5.335694        0.3237
GPMin:    3 10:45:49       -5.477313        0.1310
GPMin:    4 10:45:54       -5.503827        0.0468
GPMin:    5 10:45:59       -5.505109        0.0462
GPMin:    6 10:46:05       -5.517720        0.0466
GPMin:    7 10:46:09       -5.523605        0.0483
GPMin:    8 10:46:15       -5.541961        0.2386
GPMin:    9 10:46:21       -5.566859        0.1116
GPMin:   10 10:46:32       -5.575324        0.0538
GPMin:   11 10:46:38       -5.582396        0.0887
GPMin:   12 10:46:44       -5.606559        0.0764
GPMin:   13 10:46:49       -5.610788        0.0750
GPMin:   14 10:46:55       -5.626351        0.0809
GPMin:   15 10:47:01       -5.654810        0.0828
GPMin:   16 10:47:05       -5.671785        0.0830
GPMin:   17 10:47:10       -5.702292        0.0906
GPMin:   18 10:47:15       -5.736070        0.0911
GPMin:   19 10:47:20       -5.769535        0.0897
GPMin:   20 10:47:25       -5.801443        0.0865
GPMin:   21 10:47:30       -5.826438        0.0775
GPMin:   22 10:47:35       -5.847753        0.0716
GPMin:   23 10:47:40       -5.861851        0.0558
GPMin:   24 10:47:44       -5.868033        0.0289
GPMin:   25 10:47:49       -5.869690        0.0239
GPMin:   26 10:47:54       -5.870698        0.0240
GPMin:   27 10:47:58       -5.872056        0.0280
GPMin:   28 10:48:02       -5.872548        0.0216
GPMin:   29 10:48:07       -5.873231        0.0109
       Step     Time          Energy         fmax
